node,time,mean,sd,2.5%,25%,50%,75%,97.5%,Rhat,n.eff
C,1.0,28.73608387444757,7.958985341482011,15.96285827774163,23.09633227588984,27.89454057161537,33.36464292868401,47.21980573710993,1.00216016237436,1600.0
C,2.0,34.13406257130564,9.322822538789461,19.3433734068606,27.411224720414737,33.19385207824208,39.20129870707505,56.05002565224969,1.0125158817616078,190.0
C,3.0,52.3944367607485,9.88062738909631,34.90856421998446,45.43609903549032,51.76336646662658,58.53903943002756,73.57034310499151,1.0045841028030442,580.0
C,4.0,33.33960817884283,6.794039562823171,21.779017499352015,28.509497361527234,32.81639172149665,37.47066800215072,48.516693244415244,1.0012599299547684,4300.0
C,5.0,56.15001162566727,9.11532840063962,41.04171991738027,49.737982493258016,55.37338569423663,61.63510864750418,76.16244019900019,1.0050459722877876,470.0
C,6.0,61.970913421774156,13.217174745327139,39.933598214342766,52.68983516657178,60.70414117098447,69.86238856279275,92.0876172062321,1.0022084241314375,2000.0
C,7.0,58.50710964276693,10.29661110422701,41.04701512477399,51.26447159888997,57.69196394266597,64.61222198754145,81.18319565639933,1.003997329007196,660.0
C,8.0,50.57191157983727,8.283600786519457,36.03040540296176,44.76558666524014,49.93970572136779,55.8502713366063,67.96107821307169,1.0019840602805308,1700.0
C,9.0,72.7196084348216,10.192389854203277,54.05474843512793,65.481962524247,72.35920637484936,79.29588191850506,94.02189793044273,1.001021097440916,7500.0
C,10.0,78.50465889058323,9.970595923121728,60.276633128909545,71.63788884821673,78.06040761053643,85.00786334688162,99.21124034232334,1.0013085835090196,3900.0
C,11.0,66.48581517963979,10.033798643178873,48.33441124036925,59.55703122388799,65.85372267550858,72.78879153960081,87.8380696185532,1.0016456857045624,2400.0
C,12.0,37.37149713001245,5.540916001307825,27.37580972607064,33.399405319436646,37.06457297761893,40.91094394554204,48.88186299878783,1.001818058062345,2000.0
C,13.0,35.232092859516214,6.31669803877666,23.99680933303414,30.734870314535932,34.843226938391936,39.27430557655271,48.5225926038503,1.0087304646476802,250.0
C,14.0,48.176729818413534,8.445109265439731,33.47587461495055,42.2178998350474,47.64821905509264,53.502031689938505,66.45495688767427,1.0032805648527394,810.0
C,15.0,54.076255540217346,9.76014420816085,36.89631252034154,47.08227074478771,53.47152383800205,60.23082144887158,75.1480618451414,1.0076530369066636,290.0
C,16.0,40.89471120289852,7.774018099511513,27.2474365401314,35.344786372554324,40.32684799761334,45.825906287644486,57.41154375683111,1.0040388973172785,620.0
C,17.0,28.888581192128004,5.7312376951505515,18.990919662648224,24.85478487940727,28.37405491493635,32.40605458427566,41.6084895761989,1.0025047062832266,1200.0
C,18.0,56.2469915176008,9.051159906892245,40.413547230452295,49.92593821882465,55.507816555547066,61.98803440278313,75.49699686941216,1.0078456954979644,290.0
C,19.0,54.65449543339338,9.252964556347864,38.37356493428464,48.16411562834847,53.949059793700286,60.57160531104717,74.7641703058531,1.00250450677497,1200.0
C,20.0,67.40180908286652,10.65675471668522,48.35381842044326,60.01726231963743,66.685524658541,74.24387519552837,90.41068632886471,1.0012273920049375,4700.0
C,21.0,37.245166066294296,7.039782471785255,24.936384073777067,32.23913105022502,36.68763566475482,41.66437906887762,52.27823152829418,1.0036884936957657,690.0
C,22.0,46.46016622809775,8.115858598824598,32.4548876611547,40.58998217742878,45.904615723498544,51.68216669249765,63.99906776650098,1.0011609067877925,5500.0
C,23.0,40.16039583088678,7.005009234463811,27.89694044079235,35.20867970408906,39.67588256352044,44.59598247782092,55.18309683164241,1.0008562580024163,7500.0
C,24.0,53.54056963814779,7.78103526770376,40.013452314045914,48.04641511695755,52.93584898179039,58.57223331736463,70.38112812290503,1.000982541151561,7500.0
C,25.0,41.90242985575282,6.5916012164103055,30.224901068706323,37.29486538178863,41.465683974081756,46.03924767168551,55.964716328385116,1.0012158157309914,4800.0
C,26.0,34.59106808320951,6.299570239518214,23.729552243288715,30.109568130327375,34.131172892914684,38.58387596794436,48.39598665666527,1.0013301470642617,3800.0
C,27.0,40.897505587048215,6.586640320279362,29.080861263633686,36.298523384718315,40.47122083258743,45.08186055484295,54.71082522710489,1.0010250367675595,7500.0
